,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10
1056,4,3,4,2,3,2,4,4,3,3,4,4,3,3,3,2,3,3,4,2,2,4,2,3,2,3,2,0,2,3,3,4,3,2,2,2,3,3,2,3,3,2,3,2,3,2,4,2,2,3
1057,5,2,5,2,4,1,2,3,5,4,1,4,2,4,1,2,2,1,1,1,1,5,5,5,3,5,2,4,5,4,2,1,4,5,1,3,2,5,3,3,3,1,5,2,5,1,5,2,5,5
1058,1,3,5,5,5,1,1,3,3,5,5,3,5,1,5,5,5,5,3,5,1,5,1,3,1,5,1,5,5,5,3,5,5,3,1,5,1,1,3,3,1,3,5,3,5,3,5,1,5,5
1059,3,1,4,2,5,2,4,2,5,3,5,2,5,2,3,3,3,2,4,2,1,5,2,4,1,4,2,4,4,2,4,5,4,5,2,4,5,3,5,4,4,3,5,1,2,2,4,4,5,3
1060,3,3,3,4,3,3,5,2,5,4,4,2,5,2,1,4,5,5,5,1,3,5,5,3,3,2,2,4,3,3,2,3,4,3,1,3,3,5,1,2,3,3,4,2,2,3,3,3,3,1
1061,3,1,4,3,4,1,4,3,3,2,5,4,4,4,1,1,4,1,4,1,1,5,1,5,1,4,1,5,4,4,5,2,4,1,4,1,5,1,5,4,5,2,5,1,4,1,4,2,5,4
1062,2,1,3,3,3,1,1,4,3,5,5,1,5,1,4,5,5,5,5,5,1,5,2,5,2,3,1,4,4,3,3,2,5,3,1,3,5,3,2,5,3,2,3,1,4,3,4,2,5,3
1063,1,3,1,5,5,3,2,5,1,2,4,4,4,3,1,1,1,1,1,3,1,3,2,5,1,0,2,1,5,2,4,1,5,3,5,1,5,1,5,5,5,2,5,1,3,1,4,3,5,5
1064,4,4,4,4,2,4,1,3,5,5,5,2,5,3,1,4,5,5,4,3,3,5,3,4,1,2,1,3,4,4,3,4,5,4,2,1,5,4,5,4,4,1,4,1,4,2,4,3,5,4
1065,3,2,2,3,1,2,3,3,2,5,4,2,4,1,4,5,3,3,4,4,2,2,4,2,3,2,2,3,2,4,1,5,3,5,2,5,5,4,3,3,3,1,4,2,3,4,4,3,4,4
1066,4,3,2,2,2,2,2,3,4,3,4,1,5,1,1,5,4,5,5,5,1,5,2,5,2,5,2,4,5,5,2,5,4,5,3,4,2,4,4,2,5,1,5,1,4,1,4,5,4,4
1067,2,3,2,4,3,5,2,4,4,3,4,5,4,3,4,3,3,3,3,3,4,4,1,5,2,5,4,4,5,4,5,1,5,1,4,1,5,2,5,4,5,3,3,1,4,2,4,3,5,3
1068,3,2,4,3,4,2,4,4,2,4,3,4,4,4,3,1,2,1,1,1,1,4,2,3,3,4,1,4,3,3,5,4,5,2,1,2,5,1,5,3,3,1,5,1,4,1,5,3,4,5
1069,3,1,5,2,5,2,4,3,3,2,5,3,5,3,4,2,4,3,3,3,1,5,4,5,2,0,2,4,4,4,4,3,5,3,5,3,4,3,5,4,5,2,4,1,4,2,4,4,5,5
1070,1,4,3,4,2,3,1,4,2,3,2,5,2,5,2,1,1,1,1,1,5,2,3,2,4,2,4,2,2,3,4,1,5,2,2,2,4,3,4,4,5,2,4,2,5,2,3,4,4,4
1071,1,4,1,5,1,3,1,5,1,5,5,2,5,2,5,5,5,5,5,4,1,3,1,4,1,5,1,4,4,1,1,4,4,4,1,4,2,3,1,2,3,3,4,3,2,2,2,2,4,3
1072,5,1,5,1,4,1,5,1,5,1,2,2,3,4,1,1,1,1,2,1,2,5,1,4,5,4,0,5,4,5,3,3,3,1,2,4,1,1,4,2,5,1,4,1,5,1,5,3,4,5
1073,5,1,3,2,3,1,5,2,5,1,2,3,3,3,4,3,4,3,4,2,2,3,5,3,3,2,3,2,3,3,2,5,3,5,1,5,2,3,1,3,5,1,5,1,4,1,5,5,4,4
1074,3,1,4,2,4,1,2,2,4,2,5,1,5,1,2,4,4,4,4,5,2,4,5,4,1,2,2,4,5,3,2,5,3,5,1,5,1,5,2,3,4,1,4,2,4,2,4,4,5,4
1075,4,2,2,2,2,3,3,4,2,4,4,3,4,4,2,2,2,2,2,4,3,4,4,4,2,4,2,4,4,4,2,4,3,4,2,4,2,2,2,4,3,3,4,4,4,2,4,2,2,4
1076,4,2,5,4,5,3,2,5,5,5,4,4,2,2,1,2,3,2,5,1,1,5,2,5,1,5,1,5,5,5,4,1,5,1,2,1,5,1,5,5,4,5,5,3,4,1,1,3,5,4
1077,4,2,4,2,4,1,4,2,5,2,5,4,4,3,4,4,4,4,3,3,1,4,1,5,2,5,2,5,4,4,4,4,4,2,2,2,4,2,4,2,4,2,4,2,4,1,4,5,4,4
1078,4,2,4,3,4,2,4,5,2,4,4,4,4,2,2,4,4,2,4,4,1,5,1,5,2,5,2,4,4,5,5,2,4,2,2,2,5,1,5,4,4,1,4,2,4,2,4,4,4,5
1079,2,4,3,4,2,4,2,5,3,5,4,4,4,2,1,1,3,1,2,2,2,3,1,5,2,4,4,3,4,3,4,4,5,2,2,3,5,1,4,4,3,2,4,2,3,3,5,2,5,3
1080,2,3,4,2,4,2,3,2,3,3,3,4,4,3,2,2,3,2,3,3,1,4,4,4,2,4,2,4,4,4,2,5,5,4,2,4,3,3,3,3,4,1,5,2,3,2,5,0,4,4
1081,2,2,4,4,4,3,3,4,3,3,3,3,4,3,3,4,3,3,3,3,4,3,3,4,3,4,2,4,4,4,4,4,4,2,4,4,4,3,4,4,3,2,4,3,3,3,4,3,4,2
1082,2,3,3,3,5,1,4,4,4,3,2,4,5,1,4,4,5,5,2,5,2,5,2,4,2,4,2,4,5,4,3,1,5,2,2,2,3,4,1,4,5,1,5,1,4,1,5,5,5,5
1083,2,3,2,4,2,3,2,5,2,5,4,2,5,5,3,5,4,4,4,5,1,5,1,5,1,5,2,4,4,3,5,3,4,3,3,2,4,3,4,3,4,3,4,3,4,1,4,4,4,4
1084,3,2,5,2,5,3,3,4,2,3,2,4,4,2,1,3,2,3,1,3,1,5,1,5,1,5,1,4,5,5,5,2,5,1,4,4,3,1,3,4,4,3,4,2,4,1,5,5,5,4
1085,3,2,4,3,3,2,5,3,3,3,5,3,5,3,5,4,5,4,5,3,2,5,3,5,2,4,2,3,4,3,3,5,5,3,2,3,3,3,3,3,3,3,4,3,3,2,4,2,5,3
1086,4,1,5,1,4,1,5,1,5,2,3,5,4,2,3,4,4,3,4,1,1,5,2,5,3,5,3,4,5,5,2,4,5,3,1,2,4,3,3,3,4,1,5,1,3,1,5,2,3,4
1087,1,3,3,4,4,1,2,3,3,5,2,3,4,1,1,2,1,1,1,3,1,4,2,4,1,3,2,4,4,3,4,1,4,3,2,1,4,3,3,4,3,1,5,1,4,1,5,4,4,4
1088,3,4,3,2,5,3,4,3,4,1,4,5,3,5,1,1,3,2,5,2,5,3,3,3,5,1,5,1,1,5,5,2,4,4,4,4,4,3,4,4,4,1,5,4,4,1,4,4,5,4
1089,1,5,3,4,1,4,1,4,2,5,4,1,4,1,4,4,4,4,2,5,2,4,3,3,2,4,2,4,3,3,2,5,5,5,1,5,2,4,1,3,5,1,4,1,4,2,5,5,5,4
1090,1,5,1,5,1,5,1,5,1,2,5,3,4,3,2,2,3,4,4,2,4,1,4,2,5,3,5,3,3,1,3,4,5,3,1,3,1,3,1,3,3,2,5,4,3,2,5,4,1,3
1091,1,5,4,0,5,2,2,5,1,4,4,2,2,3,3,4,2,1,3,1,1,5,1,5,1,5,1,5,5,4,3,4,5,1,5,1,5,1,4,5,4,5,3,3,5,3,5,3,5,2
1092,1,2,3,4,4,2,1,4,2,4,3,3,4,2,2,3,4,3,2,3,2,5,1,4,2,5,2,2,4,3,4,2,3,2,3,2,3,3,3,2,4,2,5,2,4,1,3,3,5,3
1093,5,1,5,1,5,1,5,3,5,1,1,2,2,1,1,2,1,1,3,1,1,5,1,3,3,5,1,5,5,5,3,1,5,1,4,1,5,1,5,5,3,1,5,3,5,1,5,3,5,5
1094,2,4,1,5,3,3,1,5,1,5,4,2,5,2,3,4,4,4,4,4,2,3,3,4,2,4,2,4,4,3,4,2,4,2,3,2,4,2,3,3,5,2,2,2,4,3,5,4,4,3
1095,1,3,5,1,4,1,3,4,3,3,1,0,3,5,1,1,1,1,1,2,1,3,1,5,1,4,1,5,5,4,3,3,3,1,4,1,4,3,5,5,5,1,3,2,4,2,4,3,3,4
1096,1,4,2,4,2,4,1,4,1,5,3,3,5,4,4,3,2,1,3,4,2,4,1,4,1,4,2,3,3,3,3,3,4,4,2,3,4,2,2,3,2,3,3,3,3,4,3,2,4,3
1097,1,3,4,3,4,2,3,5,2,2,4,3,4,2,3,3,2,2,4,3,1,4,1,4,2,5,2,5,4,4,4,4,3,2,2,2,4,1,4,5,4,4,3,1,4,2,4,3,4,3
1098,4,2,3,2,3,2,3,3,4,5,4,3,4,3,2,4,3,2,4,2,1,3,2,4,2,4,2,3,4,4,4,2,3,2,3,3,4,2,3,4,5,2,3,3,3,2,4,4,4,3
1099,1,4,2,5,1,5,1,4,1,5,2,5,4,2,4,1,2,2,2,0,4,4,3,3,3,4,3,4,4,2,4,1,4,2,4,3,5,3,5,3,5,4,2,2,5,4,5,4,5,4
1100,1,1,5,3,5,1,5,5,1,1,3,5,1,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,4,1,4,1,5,1,5,1,5,5,5,1,1,3,4,3,5,5,5,3
1101,4,2,4,5,3,2,4,5,1,4,4,2,4,1,2,2,2,4,2,5,1,4,1,5,1,5,1,5,5,5,5,1,4,1,4,1,4,2,5,4,3,1,3,2,2,2,3,2,4,2
1102,1,2,5,2,5,2,4,2,5,1,3,3,3,4,1,2,2,2,3,1,1,4,3,4,2,4,2,3,4,4,5,3,5,2,5,2,4,2,4,4,3,1,5,2,4,2,4,1,3,5
1103,4,2,5,2,5,2,5,2,3,2,4,4,4,1,4,4,2,2,4,5,1,5,4,5,1,4,1,2,4,4,4,5,5,2,1,5,2,1,1,4,5,2,2,5,3,4,5,4,4,3
1104,1,1,4,1,3,1,5,1,5,5,2,3,2,1,2,1,1,1,3,1,3,5,1,4,4,3,1,5,2,4,3,1,5,1,2,4,3,1,1,5,5,1,5,1,5,1,4,2,5,5
1105,1,5,1,5,1,2,1,1,1,5,4,3,5,2,3,3,3,2,3,2,1,4,1,4,1,5,2,4,4,3,2,4,3,4,1,3,3,4,3,5,4,2,4,2,3,2,5,3,4,5
1106,3,3,5,1,3,3,3,3,3,1,1,3,3,1,1,3,3,3,3,1,1,3,1,3,3,5,3,3,1,3,3,1,5,1,5,3,5,1,3,3,3,3,3,1,3,1,3,3,3,3
1107,1,2,1,3,4,2,3,2,5,4,5,1,4,1,3,3,3,4,3,5,1,4,2,4,2,4,2,4,4,3,3,2,4,4,1,3,5,3,3,3,2,2,5,2,5,1,3,2,5,4
1108,2,5,2,5,3,5,2,5,3,5,5,2,4,2,4,4,4,4,4,4,2,4,1,2,3,5,3,3,3,2,4,2,4,3,2,1,4,2,4,4,4,3,3,2,4,2,4,4,4,4
1109,2,3,3,3,4,3,2,4,3,4,4,4,4,2,2,2,2,2,4,4,2,4,2,4,2,4,2,4,4,3,2,2,4,2,1,1,4,4,2,4,4,2,4,2,3,2,4,3,4,4
1110,4,1,5,2,5,1,4,2,1,1,3,2,4,3,2,3,3,3,2,2,1,5,1,5,2,5,1,4,4,4,5,1,5,2,4,1,5,1,4,3,3,3,3,3,5,1,4,2,4,5
1111,2,2,3,2,4,2,3,4,4,3,1,4,4,5,5,3,2,1,3,1,1,3,3,4,1,3,2,4,4,4,3,4,3,2,2,4,2,3,3,3,1,2,2,4,3,4,4,1,4,3
1112,2,4,3,4,2,3,2,5,2,4,4,3,4,4,3,3,4,4,3,4,4,4,1,4,2,4,2,4,4,3,3,4,4,3,4,4,4,3,4,3,4,3,5,2,3,4,3,3,5,4
1113,3,2,4,3,4,2,3,3,2,4,4,3,5,4,4,3,4,3,4,2,1,2,3,4,2,4,3,4,4,1,4,3,5,2,3,3,4,1,4,4,5,3,5,3,5,1,2,4,3,4
1114,1,3,3,3,3,2,1,3,4,4,4,3,4,1,4,4,4,3,3,4,2,3,1,4,2,4,2,4,4,3,4,3,4,4,1,3,4,2,3,3,3,4,4,2,3,2,3,2,4,5
1115,1,2,3,2,3,3,2,3,3,3,2,4,4,2,4,4,2,3,4,4,2,4,3,4,3,3,3,4,4,2,4,2,2,2,2,2,4,3,4,3,5,1,3,1,5,2,4,5,5,5
1116,2,4,2,5,2,4,1,4,2,5,5,1,5,2,3,4,2,2,4,3,1,5,4,5,1,5,1,5,5,3,4,2,5,2,1,1,5,4,4,3,4,1,4,1,2,1,2,4,5,2
1117,3,2,5,3,5,1,5,2,4,3,1,5,3,5,4,1,2,1,2,2,1,5,1,5,2,5,1,5,5,5,4,2,4,1,3,2,5,1,4,3,3,3,4,2,4,1,4,3,4,5
1118,2,1,4,2,4,1,2,4,1,4,5,3,5,5,4,2,2,3,3,1,1,5,1,4,1,5,1,5,5,3,3,3,4,2,3,1,2,1,3,2,4,2,4,2,3,1,3,2,3,2
1119,3,4,4,5,4,4,3,5,1,5,1,5,1,1,4,1,1,1,1,1,1,4,1,5,2,5,2,4,5,4,4,2,5,2,3,1,4,2,2,4,5,1,5,1,4,1,5,4,5,4
1120,4,2,2,3,0,2,5,5,2,2,4,1,5,2,5,4,3,4,4,2,1,5,4,5,4,3,0,4,4,4,4,1,5,4,2,2,3,5,4,2,0,1,5,1,5,0,5,0,5,5
1121,3,2,3,3,4,1,3,3,4,5,5,2,5,1,4,4,5,5,4,5,2,4,3,4,1,4,2,3,4,4,3,4,5,3,2,2,3,3,3,3,5,1,5,1,5,1,5,4,3,5
1122,4,2,4,2,4,2,4,4,2,4,4,4,5,2,2,4,2,2,2,2,1,5,1,5,2,5,2,4,4,4,4,4,5,2,5,2,5,1,5,5,2,5,4,4,3,2,4,2,2,2
1123,4,1,2,1,4,1,4,1,5,1,5,2,4,2,5,4,5,5,4,4,4,4,1,3,2,3,2,4,2,4,2,3,1,3,4,1,4,2,3,2,4,2,5,2,3,2,4,4,4,4
1124,1,5,2,5,2,4,1,5,1,5,3,4,4,3,2,2,3,0,3,3,2,3,1,4,3,4,3,4,4,3,0,2,4,2,1,4,4,2,4,3,3,2,3,2,3,3,4,3,4,3
1125,3,3,2,3,4,3,4,2,2,2,4,3,3,3,3,2,2,3,3,2,1,4,2,5,1,5,1,5,5,5,5,2,5,2,3,1,5,2,5,5,5,1,5,1,5,1,5,5,5,5
1126,3,3,5,5,5,1,5,5,3,1,1,5,1,4,1,1,1,1,1,1,1,5,1,5,1,4,1,5,5,5,0,1,5,1,3,1,5,3,3,3,0,1,5,1,5,1,3,1,5,5
1127,2,3,3,5,1,2,1,3,4,4,4,4,5,2,4,4,2,2,4,4,4,2,3,3,3,4,4,2,3,3,2,4,5,3,1,5,3,5,2,2,5,1,5,1,4,1,4,4,5,5
1128,1,1,4,2,4,2,5,2,2,4,4,4,5,3,5,2,4,4,5,3,1,4,3,5,1,2,1,4,4,3,2,3,5,2,1,1,4,4,2,3,3,1,4,1,4,1,2,4,5,5
1129,1,5,3,5,1,5,1,5,1,5,2,4,2,4,2,2,4,4,2,2,1,5,1,4,1,5,1,4,4,5,3,5,2,5,2,5,2,3,1,2,4,2,5,2,4,1,5,4,4,3
1130,1,5,2,5,2,2,2,4,2,5,4,4,3,1,1,2,2,2,2,5,3,4,4,4,2,4,2,4,2,1,1,5,2,5,1,5,3,0,2,2,4,2,2,1,3,4,4,4,4,3
1131,1,4,1,5,1,1,3,4,2,5,4,2,5,4,4,4,4,5,5,5,4,3,3,4,3,3,3,3,5,4,4,3,4,3,2,2,4,2,5,5,4,2,5,2,5,1,4,5,5,5
1132,1,3,1,5,1,2,1,5,1,4,5,1,5,1,2,3,2,1,4,5,2,3,2,3,2,2,3,4,4,1,4,5,2,3,1,5,4,4,1,2,4,2,4,2,2,3,2,3,3,2
1133,1,2,4,4,4,5,3,2,5,4,4,1,4,3,1,5,5,5,4,4,4,4,3,3,4,5,5,1,5,2,4,4,4,3,4,1,5,5,3,4,4,1,4,4,4,3,5,5,4,4
1134,2,2,2,4,2,2,3,4,2,4,3,2,4,2,2,3,4,2,5,4,2,4,5,4,3,3,2,2,3,2,2,4,2,2,1,4,2,3,1,2,5,1,4,2,5,2,5,3,5,4
1135,1,4,2,4,2,3,2,5,2,5,5,2,5,1,3,5,4,4,4,5,2,4,3,4,2,3,2,4,4,4,2,2,4,3,2,2,4,2,2,3,2,2,4,3,3,2,3,2,5,3
1136,4,1,5,1,5,1,5,3,4,1,4,3,4,2,5,5,4,4,3,2,1,5,2,5,1,4,1,5,5,4,2,3,2,4,3,4,3,5,3,3,5,2,4,4,3,2,4,4,3,4
1137,3,0,3,5,1,4,0,5,1,5,0,3,5,2,5,5,4,5,5,5,1,3,1,5,1,5,2,5,5,4,4,1,5,2,5,1,5,1,5,5,1,5,5,5,4,5,3,1,3,4
1138,2,3,4,4,4,1,2,4,2,4,2,4,2,5,2,1,1,1,1,1,2,4,2,2,4,1,4,2,1,3,4,1,5,1,3,1,5,1,5,5,4,3,3,4,4,2,4,2,5,4
1139,1,3,3,4,4,1,1,4,2,5,3,2,4,2,1,1,3,2,1,3,1,5,3,4,2,4,4,4,2,4,1,2,3,5,1,4,4,3,4,3,3,1,5,1,4,1,4,3,5,5
1140,2,2,4,2,4,2,2,3,3,4,4,3,4,3,3,3,3,2,3,2,4,3,2,4,2,4,2,3,4,4,4,2,4,2,3,2,4,2,4,4,4,2,4,2,4,4,4,4,4,4
1141,3,4,2,3,3,2,2,3,3,4,4,2,5,2,3,3,4,3,4,4,2,4,2,3,3,4,3,3,3,3,4,1,4,2,4,1,5,2,4,3,4,1,4,2,3,2,4,3,5,4
1142,2,2,5,3,2,4,4,5,3,5,4,5,4,5,1,3,1,2,4,1,1,5,1,5,3,4,2,4,3,3,5,4,5,1,5,1,5,1,5,5,2,1,2,1,2,4,5,2,2,2
1143,3,5,1,4,2,2,3,5,2,4,4,3,4,4,2,3,2,2,3,2,2,3,2,3,3,3,3,3,2,4,3,4,3,3,3,2,4,3,2,3,3,2,4,5,3,2,2,2,2,3
1144,3,2,4,3,4,2,4,3,1,3,3,2,5,2,3,3,3,3,3,2,1,5,2,5,1,5,2,5,3,5,5,1,3,1,5,1,5,1,5,4,3,3,2,5,3,5,3,1,5,3
1145,1,3,3,4,3,4,4,4,1,5,1,4,3,5,1,1,1,1,1,1,1,3,1,3,3,4,2,4,3,3,4,1,5,1,5,1,5,1,5,5,3,2,4,4,4,3,5,0,3,4
1146,3,2,3,3,3,3,2,5,1,4,1,1,1,1,4,5,3,4,5,4,1,5,1,5,1,5,2,5,4,4,3,3,4,3,3,3,3,2,4,4,1,3,3,3,3,3,3,1,4,2
1147,3,3,3,3,3,3,3,4,3,3,1,5,1,3,1,2,2,1,1,2,1,3,1,5,2,5,3,4,4,3,4,1,3,4,1,3,4,5,3,4,4,4,4,2,4,2,4,3,3,2
1148,2,3,3,3,4,3,4,4,2,4,4,3,5,3,2,2,3,1,2,2,1,4,1,4,1,5,1,4,4,3,3,2,4,1,3,2,5,1,3,5,4,3,3,3,3,3,4,3,4,3
1149,1,4,1,5,3,5,1,5,1,5,3,3,2,2,1,3,2,2,4,4,2,1,4,2,1,2,4,2,2,2,1,4,2,2,1,3,3,3,3,3,3,2,3,3,3,3,3,4,4,3
1150,2,5,2,5,1,5,1,4,3,5,4,4,5,3,4,4,3,3,4,3,2,2,2,5,3,4,5,4,1,2,4,4,2,3,2,3,4,1,4,3,3,3,4,4,4,4,5,4,4,3
1151,3,1,5,1,1,1,4,2,5,1,4,2,4,2,2,2,1,2,2,2,1,4,1,5,5,4,1,5,5,5,4,4,3,2,3,2,5,1,3,4,3,3,4,5,5,1,4,3,4,4
1152,1,5,5,3,3,5,3,5,1,3,5,1,5,5,5,5,5,5,5,4,5,5,3,5,5,5,3,3,3,5,1,5,5,1,1,5,1,1,1,5,3,3,5,5,5,3,2,3,5,5
1153,1,1,2,5,3,1,1,5,1,5,5,2,5,1,3,2,2,1,3,4,2,3,3,3,2,3,4,4,3,3,1,1,4,2,1,4,3,3,3,3,3,3,4,3,3,2,3,3,4,3
1154,3,2,5,3,3,2,3,2,3,3,4,3,4,3,3,3,2,2,3,1,1,5,2,5,1,4,1,4,5,2,4,1,4,2,5,2,5,2,5,2,3,2,3,3,2,3,4,2,4,2
1155,3,4,4,3,4,3,4,4,2,4,5,3,4,5,2,3,4,4,4,1,1,4,1,5,1,4,2,4,4,4,4,4,4,4,5,4,4,3,3,4,2,2,4,3,3,3,3,2,4,3
1156,4,1,4,3,4,1,4,4,3,3,5,3,5,1,5,4,5,4,4,5,1,5,2,4,4,5,5,4,4,3,4,1,5,3,3,1,4,1,4,4,5,2,5,1,5,2,5,5,2,5
1157,5,5,3,3,1,1,5,4,3,3,4,0,5,2,5,1,5,4,5,1,3,2,2,3,5,3,5,5,1,5,3,3,3,3,3,5,2,5,3,3,4,1,5,1,5,1,4,3,5,5
1158,4,1,5,1,5,1,4,1,5,1,4,2,4,2,4,3,2,2,3,4,1,5,3,5,2,4,1,5,4,4,4,2,5,1,1,3,4,2,4,3,2,1,2,2,4,4,5,2,4,4
1159,1,5,3,5,2,3,1,3,1,5,4,3,3,3,3,0,5,5,5,3,3,3,3,3,3,5,3,2,3,3,5,1,4,1,5,1,5,2,5,3,4,3,5,3,3,1,3,2,3,2
1160,3,3,3,3,3,3,3,3,4,3,3,4,5,3,3,4,3,2,2,2,1,4,3,4,2,4,2,3,4,4,1,2,3,2,1,2,3,3,1,3,4,1,5,2,4,1,5,4,4,5
1161,3,1,4,3,4,2,5,4,2,3,2,5,2,3,2,3,2,2,1,2,1,5,1,5,1,5,1,5,5,5,4,2,4,4,4,1,4,1,3,4,4,3,2,3,3,3,3,2,2,3
1162,1,4,4,3,2,2,3,5,4,5,2,4,3,3,4,2,3,2,4,2,3,5,1,4,4,3,3,3,3,3,0,3,4,3,3,2,3,3,3,2,4,1,5,1,5,1,5,2,5,5
1163,5,5,5,1,5,1,4,4,4,1,5,3,5,2,4,4,4,4,4,4,4,5,5,2,4,3,4,2,3,2,5,4,4,3,4,2,4,3,4,4,3,2,4,5,5,3,4,2,3,4
1164,1,5,4,4,3,5,1,5,2,4,4,3,5,2,3,4,2,1,5,4,1,4,2,5,1,3,2,4,5,3,2,4,5,4,3,5,3,1,1,5,5,1,5,1,5,1,4,3,5,4
1165,5,1,4,2,3,2,4,2,4,2,2,4,3,5,2,2,1,1,2,2,3,4,3,2,3,3,2,3,1,3,2,3,4,3,1,3,4,4,3,4,1,2,4,3,5,2,3,1,4,3
1166,3,3,4,4,3,3,2,2,2,3,5,4,4,3,5,5,4,4,5,3,4,3,2,3,4,4,3,3,2,3,2,3,3,3,3,4,3,3,2,3,2,3,4,3,3,3,3,4,4,3
1167,4,2,5,2,3,2,3,2,4,4,1,5,1,3,2,1,1,1,1,3,3,4,1,2,4,1,2,2,2,5,4,2,4,1,5,1,4,3,3,5,5,1,3,2,5,1,5,5,4,5
1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169,3,4,1,4,1,4,2,5,4,4,1,5,1,4,1,2,3,3,1,3,5,1,4,1,5,5,5,1,5,5,4,5,5,3,5,5,4,5,4,5,4,1,5,1,5,5,1,0,5,5
1170,3,3,4,2,4,2,5,3,5,2,1,5,2,3,4,1,2,1,1,3,3,5,1,3,3,4,3,2,4,4,4,5,5,2,2,1,4,2,5,3,3,1,1,1,4,5,5,2,4,2
1171,4,3,4,3,5,4,4,5,2,5,5,4,4,3,5,3,5,5,5,2,2,2,3,3,3,5,3,3,2,3,5,2,4,2,4,2,5,3,2,3,0,3,5,2,5,2,4,2,3,5
1172,3,5,4,2,1,5,1,5,1,5,3,4,5,3,5,5,1,1,5,1,4,2,4,3,5,1,5,5,5,1,2,2,3,5,1,1,1,5,1,5,1,5,5,2,5,1,1,1,5,5
1173,2,4,2,4,2,3,2,4,2,4,4,2,4,2,2,4,4,4,4,4,2,3,4,3,2,2,2,3,4,2,4,4,4,3,2,4,4,2,4,3,4,2,4,2,4,2,4,4,4,4
1174,3,5,3,4,2,2,2,4,3,4,5,3,5,2,2,5,4,3,5,4,2,3,2,3,3,4,3,3,3,4,4,4,4,2,2,4,4,2,4,5,4,2,5,3,4,1,3,4,4,5
1175,2,3,4,4,3,4,1,3,3,5,5,2,4,2,3,4,2,2,3,4,3,3,4,3,3,2,2,4,3,3,4,5,4,4,2,3,3,4,2,4,4,3,3,3,3,2,3,4,4,3
1176,1,2,2,3,2,2,1,4,3,4,4,3,4,2,1,2,3,2,2,2,1,5,4,4,2,2,2,2,3,3,4,5,4,4,1,4,3,2,2,3,5,2,4,2,4,2,4,4,4,4
1177,2,5,4,4,2,4,2,5,4,4,4,4,4,2,4,4,4,2,4,4,2,4,1,4,4,3,4,4,4,2,2,4,4,4,2,4,4,2,2,3,2,2,4,4,4,4,4,2,4,4
1178,3,4,2,4,2,2,1,3,4,5,4,3,4,3,4,3,3,3,3,3,2,3,2,4,2,3,3,4,4,3,3,4,4,4,2,4,4,3,4,4,4,2,4,2,4,1,4,4,5,4
1179,2,5,5,4,2,2,2,5,1,4,4,4,4,4,2,3,3,2,3,2,3,1,1,5,1,5,2,4,4,4,4,1,4,2,4,1,4,1,5,4,2,2,4,2,2,1,2,2,5,4
1180,2,4,2,2,3,1,1,2,3,4,1,5,3,5,1,4,2,1,2,3,2,2,1,4,3,5,4,4,2,4,3,1,5,1,4,1,3,3,4,3,3,3,3,3,4,2,4,1,5,4
1181,3,4,3,4,3,3,3,5,2,4,3,4,3,1,2,3,4,2,3,3,5,3,2,0,1,4,2,4,3,5,3,3,3,2,2,4,4,3,3,3,1,3,5,3,3,1,5,1,2,4
1182,1,5,1,4,1,1,1,5,1,5,4,2,4,1,3,4,3,3,3,4,5,5,1,5,1,3,1,3,5,3,3,1,4,3,4,2,4,1,4,5,4,1,3,2,5,1,4,4,4,5
1183,3,2,2,2,3,4,4,5,2,4,4,4,4,4,1,2,4,4,3,2,1,4,4,4,2,4,3,4,4,4,2,5,4,2,1,2,4,3,2,3,4,2,5,2,4,2,4,2,5,5
1184,4,2,4,2,4,2,3,2,2,2,4,2,5,1,3,3,3,2,3,4,2,5,2,5,2,4,1,5,5,4,2,4,4,4,1,4,4,4,3,4,5,1,4,1,3,2,3,4,1,4
1185,2,4,2,4,4,3,3,5,1,3,5,2,5,2,3,5,4,3,5,4,2,3,3,4,1,4,2,3,5,3,2,3,3,4,2,3,2,3,3,3,2,4,3,3,3,4,3,2,4,2
1186,4,1,4,2,5,1,2,3,4,3,3,3,4,1,2,5,5,5,4,4,4,3,4,4,1,3,2,4,3,4,3,2,2,3,4,2,4,2,4,4,5,1,5,1,4,1,5,5,4,5
1187,3,2,5,2,5,1,4,4,3,2,4,2,4,2,1,3,3,3,3,3,1,5,2,5,1,5,1,4,5,4,4,1,4,2,4,1,4,3,5,4,3,1,5,2,5,1,4,2,4,4
1188,3,5,5,4,4,4,3,2,3,4,4,2,4,2,2,2,2,2,2,4,1,5,1,5,2,4,3,4,4,4,2,3,3,2,5,2,2,2,3,3,2,4,2,5,2,4,2,2,4,2
